BehaviorSpace results (NetLogo 4.1.1),,,,,,,,,Number of Trail Patrollers,Number of Foragers
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,0,0
,0,0,,,,,,,17,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
