BehaviorSpace results (NetLogo 4.1.1),,,,,,,,,,Numbr of Inactive Ants,Number of Foragers
16-loop_import_nest_midden_trail_inactive_interact_foragers_thod_plots.nlogo,,,,,,,,,,96,0
experiment,,,,,,,,,,96,0
03/04/2011 16:13:30:921 -0700,,,,,,,,,,96,0
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,96,0
,96,0,,,,,,,,94,2
,96,0,,,,,,,,92,4
,96,0,,,,,,,,91,5
,96,0,,,,,,,,90,6
,96,0,,,,,,,,89,7
,96,0,,,,,,,,88,8
,96,0,,,,,,,,88,8
,96,0,,,,,,,,87,9
,96,0,,,,,,,,87,9
,96,0,,,,,,,,86,10
,96,0,,,,,,,,86,10
,96,0,,,,,,,,86,10
,96,0,,,,,,,,86,10
,96,0,,,,,,,,85,11
,96,0,,,,,,,,84,12
,96,0,,,,,,,,83,13
,95,1,,,,,,,,83,13
,94,2,,,,,,,,81,15
,92,4,,,,,,,,81,15
,91,5,,,,,,,,81,15
,90,6,,,,,,,,79,17
,89,7,,,,,,,,79,17
,88,8,,,,,,,,79,17
,88,8,,,,,,,,79,17
,87,9,,,,,,,,79,17
,87,9,,,,,,,,79,17
,86,10,,,,,,,,78,18
,86,10,,,,,,,,78,18
,86,10,,,,,,,,77,19
,86,10,,,,,,,,77,19
,85,11,,,,,,,,77,19
,84,12,,,,,,,,76,20
,83,13,,,,,,,,76,20
,83,13,,,,,,,,76,20
,81,15,,,,,,,,76,20
,81,15,,,,,,,,76,20
,81,15,,,,,,,,76,20
,79,17,,,,,,,,74,22
,79,17,,,,,,,,73,23
,79,17,,,,,,,,72,24
,79,17,,,,,,,,72,24
,79,17,,,,,,,,72,24
,79,17,,,,,,,,72,24
,78,18,,,,,,,,72,24
,78,18,,,,,,,,72,24
,77,19,,,,,,,,71,25
,77,19,,,,,,,,70,26
,77,19,,,,,,,,70,26
,76,20,,,,,,,,70,26
,76,20,,,,,,,,70,26
